cat,cat_
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
0-5 ,0.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
15-20 ,4.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
15-20 ,4.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
10-15 ,2.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
15-20 ,4.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
10-15 ,2.0
0-5 ,0.0
1-5 ,1.0
10-15 ,2.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
1-5 ,1.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
15-20 ,4.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
15-20 ,4.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
15-20 ,4.0
0-5 ,0.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
15-20 ,4.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
15-20 ,4.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
10-15 ,2.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
10-15 ,2.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
10-15 ,2.0
10-15 ,2.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
15-20 ,4.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
15-20 ,4.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
15-20 ,4.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
15-20 ,4.0
10-15 ,2.0
5-10 ,10.0
10-15 ,2.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
10-15 ,2.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
10-15 ,2.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
10-15 ,2.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
10-15 ,2.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
15-20 ,4.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
15-20 ,4.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
10-15 ,2.0
15-20 ,4.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
10-15 ,2.0
0-5 ,0.0
10-15 ,2.0
0-5 ,0.0
5-10 ,10.0
10-15 ,2.0
10-15 ,2.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
1-5 ,1.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
5-10 ,10.0
0-5 ,0.0
0-5 ,0.0
0-5 ,0.0
5-10 ,10.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
1-5 ,1.0
0-5 ,0.0
